time_s,item_type,decision,reaction_ms
2.12,good,collected,1520.4
3.10,good,missed,1923.2
3.60,good,collected,1854.2
4.32,bad,avoided,1985.9
4.61,good,missed,1701.2
5.12,good,collected,1638.5
5.92,bad,avoided,1861.0
6.38,good,missed,1743.1
6.79,good,missed,1624.7
7.23,good,missed,1534.3
7.71,bad,avoided,1493.4
8.66,bad,avoided,1909.6
8.82,good,collected,1548.3
9.53,bad,avoided,1729.0
10.25,bad,avoided,1916.6
10.53,good,missed,1673.4
11.37,good,missed,1986.4
11.78,bad,avoided,1868.2
11.82,bad,avoided,1416.5
12.61,bad,avoided,1722.2
12.82,good,collected,1458.6
13.10,bad,collected,1249.8
13.88,bad,avoided,1555.7
14.57,bad,avoided,1770.9
15.02,bad,avoided,1734.5
15.14,bad,avoided,1381.9
15.66,good,missed,1416.1
15.97,good,collected,1249.8
16.52,bad,avoided,1367.9
16.60,good,collected,1014.2
17.57,good,missed,1555.1
17.80,good,missed,1361.1
18.20,good,collected,1326.2
18.71,bad,avoided,1402.6
19.05,bad,avoided,1312.5
19.48,good,collected,1312.3
20.19,bad,avoided,1590.1
20.34,bad,avoided,1312.2
21.02,bad,avoided,1562.5
21.32,good,missed,1431.1
21.44,bad,avoided,1173.7
21.83,bad,avoided,1180.2
22.25,bad,avoided,1221.8
22.64,bad,avoided,1229.1
22.95,good,collected,1152.9
23.45,bad,avoided,1270.7
23.74,bad,avoided,1180.3
23.98,good,collected,1034.3
24.55,good,missed,1222.6
24.83,good,missed,1125.2
25.21,good,missed,1124.9
25.78,bad,avoided,1305.2
26.28,good,missed,1430.8
26.34,good,missed,1152.9
26.62,bad,avoided,1103.6
27.11,good,missed,1256.9
27.21,bad,avoided,1027.9
27.86,good,missed,1340.7
27.97,good,missed,1118.1
28.39,good,missed,1201.5
28.64,good,missed,1117.7
29.12,bad,avoided,1271.2
29.57,good,missed,1389.1
29.76,good,missed,1236.8
30.19,bad,avoided,1326.7
30.39,good,missed,1201.7
30.73,good,missed,1208.5
31.20,bad,avoided,1340.4
31.21,bad,avoided,1062.6
31.58,good,missed,1153.1
31.85,good,missed,1139.4
32.01,good,missed,1013.6
32.41,bad,avoided,1124.6
32.64,good,missed,1076.4
32.84,good,missed,985.3
33.11,bad,avoided,972.1
33.42,bad,avoided,999.9
33.96,bad,avoided,1250.5
33.98,good,missed,993.1
34.40,bad,avoided,1125.1
34.53,good,missed,972.3
34.92,good,missed,1069.2
35.36,good,missed,1221.9
35.56,good,missed,1138.6
35.84,bad,avoided,1132.0
36.12,bad,avoided,1124.7
36.14,good,collected,902.9
36.46,good,missed,986.4
36.92,good,missed,1201.3
37.08,good,missed,1118.4
37.40,good,missed,1194.5
37.46,bad,avoided,1006.6
37.83,good,missed,1131.9
38.03,bad,avoided,1083.4
38.32,bad,avoided,1131.9
38.57,good,missed,1145.4
38.70,good,missed,1027.7
39.02,bad,avoided,1111.0
39.13,bad,collected,729.5
39.33,bad,avoided,1174.1
39.65,bad,avoided,1006.8
39.79,bad,avoided,902.8
39.96,bad,collected,833.0
